Name,TEAM,ADP,ADP_TREND,PRIMARY_POS,SECONDARY_POS
JaVale McGee,LAL,131.2,0.2,C,
Thaddeus Young,Chi,131.3,-1.1,PF,SF
Rui Hachimura,Wsh,131.7,1.5,PF,SF
JJ Redick,NO,131.9,-0.5,SG,
Dejounte Murray,SA,132.1,0.3,PG,
Bobby Portis,NY,132.3,-0.5,PF,
Tyler Herro,Mia,133.6,4.8,SG,
Kevin Huerter,Atl,133.8,0.2,SG,
Rajon Rondo,LAL,133.9,0.6,PG,
Klay Thompson,GS,134.1,-1,SG,
Danny Green,LAL,135.2,-0.5,SG,SF
Eric Gordon,Hou,135.7,0.6,SG,
Nemanja Bjelica,Sac,135.8,-0.7,PF,
Bogdan Bogdanovic,Sac,136.2,0.1,SG,
Gary Harris,Den,136.2,0.7,SG,
Kevin Durant,Bkn,136.5,-0.7,SF,
Michael Porter Jr.,Den,136.9,1.1,SF,
Fred VanVleet,Tor,137.3,0.2,PG,
PJ Tucker,Hou,137.3,-0.1,SF,PF
Mo Bamba,Orl,137.6,0,C,
Reggie Jackson,Det,138,0.3,PG,
Darius Garland,Cle,138.1,0.1,PG,
Cam Reddish,Atl,138.2,0.1,SF,SG
Tim Hardaway Jr.,Dal,138.4,0.5,SG,
Patrick Beverley,LAC,138.4,0,PG,
Coby White,Chi,138.5,1,PG,
Marcus Smart,Bos,138.5,0.5,SG,
Kevin Knox,NY,138.7,-0.3,SF,
Jeff Green,Utah,139,-0.1,PF,
Justise Winslow,Mia,139,0.1,SF,
Kelly Olynyk,Mia,139,-0.2,PF,C
Noah Vonleh,Min,139.1,-0.4,PF,C
Delon Wright,Dal,139.1,0.1,PG,
Alex Caruso,LAL,139.2,0,SG,
Jusuf Nurkic,Por,139.2,-0.2,C,
D.J. Augustin,Orl,139.2,0,PG,
Seth Curry,Dal,139.3,0.1,SG,
Tomas Satoransky,Chi,139.3,0.2,SG,PG
Markelle Fultz,Orl,139.4,0.4,PG,
Nickeil Alexander-Walker,NO,139.4,0.6,SG,
DeMarcus Cousins,LAL,139.5,-0.3,C,
John Wall,Wsh,139.6,-0.2,PG,
Bol Bol,Den,139.6,-0.2,C,
Andre Iguodala,Mem,139.6,0,SF,
Carmelo Anthony,Chi,139.6,-0.1,PF,SF
Dwyane Wade,Mia,139.7,0.1,SG,
Boban Marjanovic,Dal,139.7,0,C,
Isaac Bonga,Wsh,139.7,0,SF,
Vince Carter,Atl,139.7,0,SF,
Metta World Peace,LAL,139.7,-0.1,SF,
Taurean Prince,Bkn,139.7,0.3,SF,
Dirk Nowitzki,Dal,139.8,0,PF,
Paul Zipser,Chi,139.8,-0.1,SF,
Thanasis Antetokounmpo,Mil,139.8,0,SF,
Kostas Antetokounmpo,LAL,139.8,0,PF,
Jeremy Lin,Tor,139.8,0,PG,
JR Smith,Cle,139.8,0,SG,
Jordan Poole,GS,139.9,0,SG,
Marcus Morris,NY,139.9,0.4,PF,
Kevin Garnett,Min,139.9,0,PF,
Stephen Zimmerman,LAL,139.9,-0.1,C,
